2024-07-05 13:05:19,639 - Anomaly detected! Packet info: {'duration': 1720164919.556874, 'protocol_type': 'udp', 'service': 64023, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:19,713 - Anomaly detected! Packet info: {'duration': 1720164919.635523, 'protocol_type': 'udp', 'service': 50395, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:20,651 - Anomaly detected! Packet info: {'duration': 1720164920.561448, 'protocol_type': 'udp', 'service': 64023, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:20,710 - Anomaly detected! Packet info: {'duration': 1720164920.640989, 'protocol_type': 'udp', 'service': 50395, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:21,668 - Anomaly detected! Packet info: {'duration': 1720164921.573011, 'protocol_type': 'udp', 'service': 64023, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:21,749 - Anomaly detected! Packet info: {'duration': 1720164921.650254, 'protocol_type': 'udp', 'service': 50395, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:25,197 - Normal packet. Packet info: {'duration': 1720164925.113386, 'protocol_type': 'tcp', 'service': 52166, 'flag': <Flag 2 (DF)>, 'src_bytes': 88, 'dst_bytes': 122, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:25,262 - Normal packet. Packet info: {'duration': 1720164925.129427, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:27,714 - Anomaly detected! Packet info: {'duration': 1720164927.673183, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 37, 'dst_bytes': 71, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:27,760 - Anomaly detected! Packet info: {'duration': 1720164927.691902, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 33, 'dst_bytes': 67, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
